Ir,T,Power
1171.6,32.217,3.43E+06
1208.8,20.944,3.68E+06
1309.1,29.645,3.84E+06
822.74,29.637,2.47E+06
497.9,34.697,1.46E+06
911.22,33.747,2.68E+06
434.08,31.898,1.29E+06
732.54,16.248,2.31E+06
206.08,30.749,6.10E+05
250.26,34.791,7.26E+05
799.03,29.818,2.40E+06
593.8,16.462,1.89E+06
1253,19.839,3.83E+06
179.08,16.17,5.54E+05
1092.8,23.547,3.33E+06
1077.4,31.807,3.17E+06
627.85,25.657,1.93E+06
1145.7,22.993,3.47E+06
1172,24.346,3.54E+06
1335.1,20.501,4.06E+06
1099,17.665,3.43E+06
580.63,25.433,1.79E+06
563.04,28.895,1.70E+06
1302.7,33.271,3.76E+06
1318.6,30.408,3.85E+06
1146.2,29.084,3.40E+06
938,28.585,2.82E+06
519.57,25.809,1.60E+06
1397.2,29.109,4.09E+06
1179.8,26.532,3.53E+06
1448,15.614,4.45E+06
839.94,20.356,2.62E+06
370.17,18.477,1.15E+06
357.51,20.917,1.11E+06
628.59,27.685,1.91E+06
632.02,24.278,1.95E+06
1158,20.112,3.57E+06
1054.2,15.813,3.31E+06
735.72,30.94,2.21E+06
892.07,27.149,2.69E+06
1152.6,28.486,3.43E+06
1124.3,22.239,3.42E+06
1353.4,34.435,3.88E+06
115.8,25.907,3.23E+05
1092.5,33.579,3.19E+06
147.71,33.301,4.07E+05
909.3,17.809,2.86E+06
532.55,19.958,1.67E+06
166.21,18.972,4.79E+05
517.4,34.791,1.52E+06
1462.8,25.004,4.34E+06
925.35,29.646,2.77E+06
1493.7,34.04,4.24E+06
106.46,32.806,3.04E+05
441.44,16.738,1.39E+06
1356.5,32.981,3.92E+06
464.23,29.913,1.40E+06
657.73,28.761,1.99E+06
103.28,31.809,2.96E+05
1208.3,20.484,3.70E+06
1286.5,21.036,3.92E+06
299.33,28.941,8.98E+05
390.2,18.746,1.21E+06
622.09,29.298,1.87E+06
694.33,20.977,2.15E+06
1048.6,21.702,3.23E+06
1427.4,17.294,4.36E+06
1378.6,33.439,3.96E+06
119.3,15.672,3.60E+05
843.94,29.753,2.53E+06
1070.8,25.927,3.23E+06
555.1,26.577,1.70E+06
1356.3,32.803,3.92E+06
525.38,20.287,1.65E+06
1034.7,21.159,3.19E+06
988.32,26.206,3.00E+06
239.59,22.629,7.12E+05
894.66,16.003,2.82E+06
771.97,15.466,2.44E+06
715.69,19.847,2.23E+06
1236,23.786,3.73E+06
1342.9,17.087,4.14E+06
1411.7,22.47,4.23E+06
326.12,15.296,1.02E+06
612.89,23.599,1.90E+06
697.18,15.342,2.22E+06
530.56,20.406,1.66E+06
1314.1,29.361,3.86E+06
421.93,21.278,1.32E+06
1470.6,33.831,4.19E+06
1182.2,31.623,3.47E+06
178.05,17.846,5.38E+05
806,28.486,2.43E+06
346.19,22.803,1.07E+06
1385.9,34.246,3.97E+06
1164.1,16.46,3.63E+06
692.22,18.559,2.17E+06
464.04,23.334,1.43E+06
425.65,18.421,1.33E+06
708.53,19.501,2.21E+06
1426.4,22.55,4.27E+06
603.05,34.823,1.78E+06
556.27,32.847,1.65E+06
617.94,15.048,1.98E+06
1165.3,23.533,3.53E+06
282.26,32.04,8.31E+05
758.75,15.26,2.41E+06
1414.6,22.547,4.24E+06
1314.2,32.457,3.81E+06
130.33,32.478,3.57E+05
1318.4,17.144,4.07E+06
1442.9,23.294,4.31E+06
1384,25.716,4.11E+06
447.95,30.638,1.33E+06
941.24,19.073,2.94E+06
626.81,16.307,2.00E+06
1482.5,25.327,4.38E+06
1424.1,19.34,4.33E+06
1061.4,24.33,3.23E+06
458.17,31.737,1.37E+06
507.83,17.321,1.62E+06
635.54,19.255,2.01E+06
811.99,25.401,2.49E+06
1386.6,33.904,3.98E+06
1430.4,24.929,4.24E+06
907.02,34.802,2.66E+06
896.53,27.28,2.71E+06
310.02,21.141,9.46E+05
1116.6,26.282,3.35E+06
304.03,26.031,9.21E+05
975.32,28.67,2.93E+06
1043,20.878,3.22E+06
298.98,34.267,8.68E+05
898.76,19.098,2.81E+06
469.32,16.815,1.48E+06
1049.9,33.83,3.06E+06
314.48,28.346,9.51E+05
1194.3,33.024,3.48E+06
812.83,22.673,2.52E+06
1152.6,24.067,3.48E+06
898.58,21.469,2.78E+06
475.79,29.617,1.43E+06
110.18,27.966,3.07E+05
386.34,28.09,1.17E+06
487.33,32.172,1.45E+06
647.75,29.505,1.95E+06
495.55,22.835,1.54E+06
491.64,26.315,1.50E+06
627.79,17.588,1.99E+06
313.6,29.148,9.47E+05
474.84,31.703,1.42E+06
338.97,28.542,1.03E+06
440.26,27.948,1.33E+06
567.96,24.234,1.76E+06
1089.1,22.133,3.34E+06
530.61,29.817,1.60E+06
1197.5,25.713,3.59E+06
399.41,22.67,1.24E+06
941.82,31.173,2.80E+06
233.1,30.355,6.92E+05
1322.8,31.619,3.84E+06
1384,23.184,4.15E+06
1336.9,24.553,3.99E+06
143.85,34.155,3.93E+05
874.06,20.682,2.72E+06
658.74,21.398,2.06E+06
1197.6,15.114,3.75E+06
1128.7,27.12,3.38E+06
1032.2,31.729,3.04E+06
218.11,28.901,6.47E+05
580.2,30.061,1.75E+06
283.86,29.419,8.54E+05
135.03,23.092,4.08E+05
1301.4,31.43,3.79E+06
566.95,28.041,1.73E+06
646.77,23.841,1.99E+06
941.6,34.777,2.75E+06
204.38,22.126,6.00E+05
388.5,23.064,1.21E+06
605.68,30.736,1.82E+06
863.51,29.194,2.59E+06
834.97,26.68,2.54E+06
408.46,28.652,1.23E+06
567.86,28.79,1.72E+06
1465.1,29.115,4.26E+06
938.56,18.426,2.93E+06
1280.2,24.8,3.84E+06
463.44,19.08,1.46E+06
1384.2,30.481,4.03E+06
1221.3,17.574,3.78E+06
566.76,21.782,1.77E+06
415.86,34.932,1.22E+06
418.67,20.444,1.32E+06
587.78,22.346,1.83E+06
857.11,25.976,2.61E+06
249.07,24.708,7.33E+05
625.29,25.687,1.92E+06
1166.8,26.416,3.49E+06
326.79,18.93,1.01E+06
142.37,24.824,4.27E+05
263.86,26.073,7.81E+05
616.7,23.276,1.91E+06
527.52,22.394,1.64E+06
508.34,32.473,1.52E+06
1000.3,30.026,2.98E+06
1246.2,31.201,3.64E+06
645.72,15.885,2.06E+06
133.79,32.437,3.66E+05
1368.4,21.338,4.13E+06
1165.3,27.978,3.47E+06
1252.2,32.03,3.64E+06
488.19,17.29,1.55E+06
953.06,18.124,2.98E+06
174.59,22.51,4.97E+05
1410.1,19.066,4.29E+06
701.48,25.069,2.14E+06
380.4,27.551,1.16E+06
126.21,31.357,3.46E+05
572.89,18.543,1.81E+06
481.87,28.557,1.45E+06
726.64,32.944,2.16E+06
497.2,26.161,1.52E+06
517,33.901,1.54E+06
1158.8,26.521,3.47E+06
710.4,31.202,2.13E+06
970.55,22.234,2.98E+06
182.02,29.975,5.39E+05
1498.7,26.686,4.40E+06
386.34,30.331,1.16E+06
1491.5,21.492,4.48E+06
1136.9,30.026,3.37E+06
1129.3,28.49,3.36E+06
1486.4,23.798,4.42E+06
1085.6,32.386,3.19E+06
189.86,18.726,5.76E+05
107.78,32.302,3.08E+05
884.66,16.789,2.79E+06
693.68,16.02,2.21E+06
381.93,17.888,1.20E+06
744.83,31.024,2.24E+06
256.36,22.671,7.66E+05
1280.4,23.672,3.86E+06
1487.8,22.268,4.45E+06
1179.4,28.374,3.51E+06
296.34,16.933,9.19E+05
1463.7,17.967,4.45E+06
598.6,18.404,1.89E+06
1182.8,30.072,3.49E+06
381.17,32.731,1.12E+06
716.1,23.774,2.20E+06
1057.4,17.233,3.30E+06
875.35,34.402,2.58E+06
944.55,28.079,2.84E+06
1036.1,23.682,3.17E+06
814,19.6,2.55E+06
871.94,26.806,2.64E+06
1238.1,31.318,3.62E+06
400.97,29.041,1.20E+06
1332.3,20.304,4.06E+06
1279.2,31.101,3.73E+06
612.15,29.641,1.85E+06
557.34,22.944,1.73E+06
241.8,20.424,7.39E+05
142.83,28.238,4.14E+05
1369,22.513,4.12E+06
460.95,32.512,1.37E+06
1144.6,20.33,3.51E+06
608.73,30.49,1.83E+06
1290.3,28.363,3.80E+06
487.26,19.295,1.53E+06
850.33,27.764,2.57E+06
156.05,33.747,4.31E+05
1177.6,22.872,3.57E+06
992.85,26.29,3.01E+06
592.53,19.299,1.87E+06
1494.6,29.092,4.34E+06
835.37,23.28,2.58E+06
393.39,31.106,1.17E+06
665.22,17.058,2.11E+06
1322.6,27.318,3.91E+06
973.4,20.94,3.00E+06
1057.5,23.496,3.23E+06
1123.2,27.659,3.35E+06
1380.8,20.316,4.19E+06
111.45,29.557,3.10E+05
1233.6,22.532,3.74E+06
547.52,32.866,1.63E+06
754.72,33.441,2.24E+06
1041.2,17.494,3.25E+06
737.9,21.744,2.28E+06
1227,25.523,3.68E+06
236.66,24.091,6.95E+05
1446.6,23.945,4.31E+06
322.1,26.664,9.79E+05
1436.4,31.944,4.14E+06
220.76,32.149,6.52E+05
1419.8,34.826,4.04E+06
1234.8,19.96,3.78E+06
472.85,17.11,1.49E+06
505.52,18.227,1.60E+06
1128.6,23.854,3.41E+06
1138.1,34.983,3.30E+06
1254.6,26.537,3.74E+06
789.68,19.674,2.47E+06
940.79,25.283,2.86E+06
1278.2,20.673,3.89E+06
801.36,17.137,2.52E+06
559.08,28.134,1.70E+06
1327.5,30.242,3.88E+06
1236.6,24.566,3.72E+06
498.76,24.069,1.55E+06
958.36,23.291,2.94E+06
1389.9,21.422,4.19E+06
1151.4,19.108,3.56E+06
525.12,20.373,1.64E+06
1070.4,18.337,3.33E+06
844.19,19.026,2.65E+06
320.04,30.139,9.61E+05
1380.6,19.395,4.20E+06
336.18,30.984,1.00E+06
955.97,30.47,2.84E+06
875.46,20.872,2.72E+06
926.84,18.274,2.91E+06
620,33.04,1.84E+06
674.64,31.602,2.02E+06
1462.8,26.221,4.31E+06
1057.4,25.916,3.20E+06
1148.7,27.867,3.42E+06
304.26,31.76,9.06E+05
282.18,28.731,8.44E+05
255.94,16.232,8.05E+05
1186.7,15.054,3.72E+06
949.47,22.138,2.92E+06
652.43,22.932,2.02E+06
687.09,31.541,2.06E+06
1116.5,33.105,3.27E+06
1195.7,21.538,3.64E+06
382.32,28.1,1.16E+06
252.47,32.719,7.46E+05
922.23,30.626,2.75E+06
935.28,18.49,2.93E+06
212.65,31.575,6.29E+05
314.86,16.23,9.91E+05
925.84,24.311,2.82E+06
747.32,33.187,2.21E+06
323.21,30.88,9.65E+05
1041.8,33.38,3.04E+06
886.45,19.028,2.77E+06
457.15,27.444,1.38E+06
626.42,22.179,1.95E+06
140.11,30.347,3.93E+05
432.34,28.318,1.30E+06
1147.9,29.569,3.40E+06
1240,29.802,3.65E+06
